"locus"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"PROKKA_01313_sense"	2.535002785752	-0.0617524890015427	0.227961369096858	-0.264908695140717	0.791079799819112	NA
"PROKKA_01313_antis"	8.62672221498022	0.180137621869727	0.288243189704247	0.627038193992096	0.530634199268013	NA
"PROKKA_01314_igtop"	52.4402236601498	0.251926778810901	0.269401463527207	0.935849909887527	0.349350470152174	0.999614234190279
"PROKKA_01314_igbot"	4.40431974713959	0.0595107804668074	0.263523086293612	0.225855022788061	0.821314180545717	NA
"PROKKA_01314_sense"	101.154995650916	-0.231352172879091	0.248815798356577	-0.930106661328115	0.352315862143682	0.999614234190279
"PROKKA_01314_antis"	5.91015777746326	0.134810031854223	0.279578750005939	0.484528325928013	0.628010966569683	NA
"PROKKA_01315_sense"	3.53948494003825	-0.192888372389544	0.250253498049006	-0.795593291596501	0.426268467009249	NA
"PROKKA_01316_sense"	19.285444534738	-0.092794948484497	0.289014051532943	-0.3210596652403	0.748165175936229	0.999614234190279
"PROKKA_01317_sense"	11.1078557293687	-0.430817971142787	0.2920008072619	-1.46732933068173	0.142286488528067	0.995976856934141
"PROKKA_01318_sense"	86.9493579483901	0.0244949654572885	0.25329441493854	0.0967247110446169	0.922945015262906	0.999614234190279
"PROKKA_01318_antis"	2.67013788195613	-0.046651280743064	0.23710059019595	-0.195736900428852	0.844816100665749	NA
"PROKKA_01319_sense"	23.7744505703143	-0.411723464228978	0.28576076216439	-1.43216978570853	0.152095236446413	0.999614234190279
"PROKKA_01319_antis"	20.8938957776267	0.215334415902742	0.286809861274338	0.749139798168179	0.453772949786645	0.999614234190279
"PROKKA_01320_igtop"	13.5368986986037	-0.0673260517483495	0.289857115366001	-0.233812486097273	0.815130555723575	0.999614234190279
"PROKKA_01320_sense"	35.9192408562363	-0.14972626059002	0.273460520338268	-0.548198392812181	0.583555685556195	0.999614234190279
"PROKKA_01321_igtop"	765.495769919707	0.144903017063428	0.222667475723769	0.650801908512415	0.515174368073105	0.999614234190279
"PROKKA_01321_igbot"	9.16478137155032	-0.196566279346914	0.283628161179597	-0.700834885627738	0.483406064190799	0.999614234190279
"PROKKA_01321_sense"	721.574664831406	-0.136764455450629	0.242435061836261	-0.56407517136549	0.572702974605527	0.999614234190279
"PROKKA_01322_igtop"	568.722718219089	-0.26388877363563	0.272137067182685	-0.969838150130003	0.332127173386101	0.999614234190279
"PROKKA_01322_igbot"	2.11199386979788	-0.393342728434517	0.218056566094204	-1.88982499999548	0.0587813688340368	NA
"PROKKA_01322_sense"	1698.93866860904	-0.0356461713878658	0.247861618691733	-0.143813747952274	0.885647546437067	0.999614234190279
"PROKKA_01322_antis"	3.43820059744786	-0.453490019926256	0.236095405639	-1.97934660474912	0.0477769957867699	NA
"PROKKA_01323_igtop"	3.05424333799	-0.467130656755508	0.238806097250526	-1.95675628492917	0.0503761289291524	NA
"PROKKA_01323_sense"	20.2565542604816	-0.0116256126304253	0.287957900966825	-0.040361302195301	0.967805081468351	0.999614234190279
"PROKKA_01324_igtop"	17.8955129031762	0.295078247224356	0.290730131720903	1.01353225804346	0.310805996112819	0.999614234190279
"PROKKA_01324_sense"	94.347432342951	0.0121553441411903	0.262208468952261	0.046414235294262	0.962980090616911	0.999614234190279
"PROKKA_01325_igtop"	2.67117267501079	0.125058613461043	0.221011344081185	0.583336077710474	0.559667080087851	NA
"PROKKA_01325_sense"	53.2772213340794	-0.176395541607817	0.263165207833522	-0.669088843482873	0.503438806281999	0.999614234190279
"PROKKA_01325_antis"	2.27957962831774	-0.244901405935373	0.22313725110228	-1.09788033790583	0.272256744723852	NA
"PROKKA_01326_sense"	6.83328296862644	-0.380240306723685	0.283199363130448	-1.34497911481224	0.178631979223955	NA
"PROKKA_01327_sense"	65.173417670821	0.313415943989957	0.264596243791938	1.1833108639361	0.236685968786227	0.999614234190279
"PROKKA_01327_antis"	2.58030661860854	0.213151903096498	0.235403976962281	0.908004824997913	0.363875672441762	NA
"PROKKA_01328_sense"	22.3405196724975	-0.0430620509216842	0.286027922384378	-0.150627298305961	0.88026972614354	0.999614234190279
"PROKKA_01329_sense"	7.200991193249	0.0506138065034438	0.283337340070093	0.176878713728473	0.8596036589632	NA
"PROKKA_01330_sense"	11.5462195931588	0.0739289933910558	0.291711656733733	0.252908434049168	0.800338971877284	0.999614234190279
"PROKKA_01330_antis"	5.65168481061164	-0.29233887843742	0.272688072664597	-1.07302525996069	0.283259782764404	NA
"PROKKA_01331_sense"	14.4687581564299	0.411801113697466	0.292119731001031	1.41258195885882	0.157778676751715	0.999614234190279
"PROKKA_01332_igtop"	7.68066414887678	-0.630362006947236	0.283520576992363	-2.20912020913795	0.0271662808212297	NA
"PROKKA_01332_igbot"	222.764084784923	1.17197965804826	0.241348445443973	4.85686856338574	1.19256697414073e-06	0.000234140649256296
"PROKKA_01332_sense"	4.40473156369675	-0.273097114535404	0.265430525139603	-1.02888479223399	0.303533815475911	NA
"PROKKA_01332_antis"	3.8488589379312	0.105960558171459	0.242947063237964	0.449104976785276	0.653355930471717	NA
"PROKKA_01333_igtop"	19.6413176430813	-0.212995478173236	0.290547081749077	-0.729127323690466	0.465923782081713	0.999614234190279
"PROKKA_01333_sense"	12.0582179703705	0.0666047933768522	0.292114031705731	0.226759208969402	0.820610983987653	0.999614234190279
"PROKKA_01335_igtop"	2.98967919971928	-0.00500231984434323	0.238694275264179	-0.0209754762067533	0.983265218523455	NA
"PROKKA_01335_sense"	10.0345291313351	0.0150120179022738	0.291609927960084	0.0516107438692727	0.958838858381174	0.999614234190279
"PROKKA_01336_igtop"	159.128587177017	-0.141197535112385	0.25688308254798	-0.549487393099982	0.582671013901414	0.999614234190279
"PROKKA_01336_sense"	221.007328467156	0.0466006276972753	0.237916622507996	0.195916097156249	0.844675837715738	0.999614234190279
"PROKKA_01337_igtop"	4.66494795923128	-0.540348058140465	0.257566855567975	-2.07760592002444	0.0377456704817925	NA
"PROKKA_01337_sense"	19.3247654558527	-0.261437763675419	0.289805174836275	-0.903069222633519	0.366489157335307	0.999614234190279
"PROKKA_01338_igtop"	2.43582645765286	-0.203733052331485	0.222484945988305	-0.903827206359427	0.366087033045101	NA
"PROKKA_01338_sense"	12.557422993868	-0.31415356462276	0.290668604189871	-1.07268069390367	0.283414405426786	0.999614234190279
"PROKKA_01339_igtop"	8.44717572981726	-0.550593893841013	0.285107510878575	-1.91214277847846	0.0558578831902973	NA
"PROKKA_01339_sense"	12.1756500327732	-0.18190869078735	0.291118937361554	-0.621255802422211	0.534431328905487	0.999614234190279
"PROKKA_01339_antis"	1.77461675222626	-0.206283301881802	0.203941357344993	-1.03405968110564	0.301108263551892	NA
"PROKKA_01342_sense"	37.5314639298995	0.1133199934272	0.27848056971362	0.407176531125972	0.683878337297647	0.999614234190279
"PROKKA_01343_sense"	4.05124059805504	0.00166844557046626	0.261518958890211	0.00641139995889139	0.994884478006176	NA
"PROKKA_01344_sense"	16.7161896768262	-0.264099703851646	0.29161986769809	-0.902066108515046	0.367021751119563	0.999614234190279
"PROKKA_01344_antis"	5.94172562809153	0.245716945840891	0.270161041819541	0.909815517432844	0.362919809643997	NA
"PROKKA_01345_igtop"	2.20711463832989	-0.138255743660955	0.216026072228317	-0.633921924065522	0.526131776826666	NA
