"locus"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"PROKKA_00026_antis"	1.44971991275521	0.0418089751070892	0.314058811845829	0.343707661587845	NA
"PROKKA_00027_sense"	2.50897660506969	-0.00808599079374685	0.223125000584418	0.846112127524981	NA
"PROKKA_00029_antis"	2.78011344682071	-0.0743891553055414	0.325455176788158	0.179964603562002	NA
"PROKKA_00030_sense"	1.69600243758345	0.0286031278375734	0.270396275186224	0.508716921073529	NA
"PROKKA_00031_sense"	4.06444699422954	0.0357128041533937	0.228209281072036	0.4359782096093	NA
"PROKKA_00031_antis"	4.89242517321221	-0.00289102059766388	0.19043335259305	0.945824790830499	NA
"PROKKA_00032_igtop"	3.13813337128847	-0.0130034506228206	0.21557686936237	0.758169137306858	NA
"PROKKA_00032_sense"	11.8759426087986	-0.0111973424566878	0.171837370432853	0.804368441628491	0.99556198088586
"PROKKA_00032_antis"	3.02778400958363	0.0216579767003457	0.22602500774037	0.615843323150453	NA
"PROKKA_00033_sense"	2.67065010246935	-0.0176544681771028	0.228044222243492	0.678113850545819	NA
"PROKKA_00034_sense"	3.57212787614352	0.0520501375437377	0.265017730731365	0.293078830483098	NA
"PROKKA_00034_antis"	1.9956124431187	0.00948379256421984	0.237151364948677	0.818977373029581	NA
"PROKKA_00035_sense"	13.2252788548225	0.00944866971832608	0.162845744215157	0.840678402693327	0.997031032297927
"PROKKA_00035_antis"	15.9306541729121	-0.0288050777699798	0.168655115793397	0.553154810582016	0.970262737107923
"PROKKA_00036_sense"	31.5345143340706	0.174559301274188	0.276869250698136	0.0326534585812887	0.448217194150553
"PROKKA_00037_sense"	244.339422213331	0.0560684412202432	0.144562162890862	0.350873669115615	0.930336554292944
"PROKKA_00037_antis"	16.4846168763738	-0.0388507702880356	0.169784882062511	0.442419629674661	0.961364459005929
"PROKKA_00038_igtop"	3.65030967377329	0.00751388811915699	0.208450326987693	0.857883851648648	NA
"PROKKA_00038_sense"	29.6740108701667	-0.0401996039174233	0.156501908435732	0.454750947019184	0.963660587557022
"PROKKA_00039_igtop"	18.6815950242721	0.0728194036224057	0.195585205660207	0.19806487582096	0.830597419656317
"PROKKA_00039_sense"	42.9757335021094	0.0499873615808492	0.158338290620526	0.368123717263221	0.937053523749288
"PROKKA_00040_igtop"	1312.73988066848	0.0554890367314208	0.142840608093051	0.358130078538577	0.932795181695413
"PROKKA_00040_igbot"	10.0813143637821	0.00193500546667373	0.169230921114272	0.965815206419032	0.997031032297927
"PROKKA_00040_sense"	148.74879967209	0.135125394578276	0.175360927976961	0.0653965041987715	0.595424784399737
"PROKKA_00040_antis"	4.663075180838	-0.0388312628293805	0.228049685252947	0.404207633782986	NA
"PROKKA_00041_igtop"	9.38496655452961	-0.0110243844603985	0.173025177182188	0.806400575796082	0.99556198088586
"PROKKA_00041_igbot"	7.12151529251591	0.0268008715213099	0.194309463262416	0.552427689886976	0.970262737107923
"PROKKA_00041_sense"	5.88907872337117	-0.0328192760820414	0.201659159712756	0.475049707482551	0.967259102845676
"PROKKA_00042_sense"	930.802984304946	-0.116899291379653	0.157944914158735	0.0980714377572726	0.688944197186795
"PROKKA_00042_antis"	38.3214590852466	-0.0422740086286102	0.157456846545625	0.433634541385205	0.960275721914636
"PROKKA_00043_igtop"	2215.30796792643	-0.0673052043072665	0.139966824097021	0.286557999979676	0.894657188515093
"PROKKA_00043_igbot"	431.114224301524	-0.0886481408283155	0.154122394822987	0.17400344047417	0.81307846647343
"PROKKA_00043_sense"	632.014205989453	-0.0203811623788468	0.123305205080941	0.735855016295469	0.99042735764765
